"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 18:17:04 GMT 2024","Thu Jun 06 18:17:05 GMT 2024","1273","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 18:17:05 GMT 2024","Thu Jun 06 18:17:07 GMT 2024","1254","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 18:17:11 GMT 2024","Thu Jun 06 18:17:12 GMT 2024","879","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Thu Jun 06 18:17:00 GMT 2024","Thu Jun 06 18:17:02 GMT 2024","1309","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 18:17:02 GMT 2024","Thu Jun 06 18:17:03 GMT 2024","1455","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Thu Jun 06 18:16:59 GMT 2024","Thu Jun 06 18:16:59 GMT 2024","1","Surefire suite","Surefire test","Test1","Test1","testFail","testFail",""
"passed","Thu Jun 06 18:16:59 GMT 2024","Thu Jun 06 18:16:59 GMT 2024","6","Surefire suite","Surefire test","Test1","Test1","testPass","testPass",""
"passed","Thu Jun 06 18:17:07 GMT 2024","Thu Jun 06 18:17:09 GMT 2024","1617","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 18:17:09 GMT 2024","Thu Jun 06 18:17:10 GMT 2024","1394","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
