"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:48:45 GMT 2024","Thu Jun 06 17:48:47 GMT 2024","1822","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:48:32 GMT 2024","Thu Jun 06 17:48:32 GMT 2024","7","Surefire suite","Surefire test","Test1","Test1","testPass","testPass",""
"passed","Thu Jun 06 17:48:39 GMT 2024","Thu Jun 06 17:48:42 GMT 2024","2868","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:48:42 GMT 2024","Thu Jun 06 17:48:45 GMT 2024","2341","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Thu Jun 06 17:48:32 GMT 2024","Thu Jun 06 17:48:32 GMT 2024","1","Surefire suite","Surefire test","Test1","Test1","testFail","testFail",""
"passed","Thu Jun 06 17:48:47 GMT 2024","Thu Jun 06 17:48:49 GMT 2024","1172","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:48:49 GMT 2024","Thu Jun 06 17:48:50 GMT 2024","626","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Thu Jun 06 17:48:36 GMT 2024","Thu Jun 06 17:48:39 GMT 2024","2634","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:48:33 GMT 2024","Thu Jun 06 17:48:36 GMT 2024","3058","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
