"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 03:55:04 GMT 2024","Fri Jun 07 03:55:05 GMT 2024","612","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 07 03:54:58 GMT 2024","Fri Jun 07 03:54:59 GMT 2024","1040","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 07 03:54:55 GMT 2024","Fri Jun 07 03:54:56 GMT 2024","1120","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 07 03:55:01 GMT 2024","Fri Jun 07 03:55:02 GMT 2024","1246","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 07 03:54:54 GMT 2024","Fri Jun 07 03:54:54 GMT 2024","7","Surefire suite","Surefire test","Test1","Test1","testPass","testPass",""
"passed","Fri Jun 07 03:54:56 GMT 2024","Fri Jun 07 03:54:57 GMT 2024","1100","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 07 03:55:02 GMT 2024","Fri Jun 07 03:55:04 GMT 2024","1332","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Fri Jun 07 03:54:54 GMT 2024","Fri Jun 07 03:54:54 GMT 2024","1","Surefire suite","Surefire test","Test1","Test1","testFail","testFail",""
"passed","Fri Jun 07 03:54:59 GMT 2024","Fri Jun 07 03:55:00 GMT 2024","1191","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
